ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
264;ANGOSTURA;COLBUN;COLBUN;Santa Bárbara;Hidroeléctricas;CE15G004;;Operativa;ANGOSTURA;no aplica;3;S/E CENTRAL ANGOSTURA 220KV;327,5;1,984732824;321;13,5;"01/04/14 U1-U3; 25/04/2014 - U2";HIDRÁULICA;no aplica;;;;no aplica;HIDRAULICA EMBALSE;BÍO BÍO;BÍO BÍO;SANTA BÁRBARA;2;SANTA BARBARA;no aplica;no aplica;QUILLACO;no aplica;no aplica;251691,9993;5822596,019;19H;;;;;;;;;;;;
265;COELEMU;ENERGÍA LEÓN;ENERGIA LEON S.A.;Coelemu;Termoeléctricas;CE01G133;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR COELEMU 23 KV;7,1;17,04;5,89016;0;04/03/2014;ERNC;EMELECTRIC;;;;PMGD;BIOMASA;ÑUBLE;ITATA;COELEMU;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;702657,0061;5957010,99;18H;;;;;;;;;;;;
267;QUILLAILEO;EBCO ATACAMA;EBCO ENERGIA;Santa Bárbara;Hidroeléctricas;CE01G175;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR 23KV LAGO RANCO - RIÑIHUE;0,83;1,67;0,816139;;09/05/2014 12:00:00 a.m.;ERNC;FRONTEL;;;;PMGD;Mini Hidráulica de Pasada;BÍO BÍO;BÍO BÍO;SANTA BÁRBARA;1;SANTA BARBARA;no aplica;no aplica;no aplica;no aplica;no aplica;252394,9805;5824539,039;19H;;;;;;;;;;;;
268;EÓLICA SAN PEDRO;ALBA;ALBA S.A.;Dalcahue;Eólicas;CE01G136;Parque Eolico de 18 Aerogeneradores de 2 MW;Operativa;no aplica;no aplica;20;S/E CENTRAL SAN PEDRO DALCAHUE 110KV;36;0,01;35,9964;;27-06-2014 0:00:00;ERNC;no aplica;;;;no aplica;EÓLICA;DE LOS LAGOS;CHILOÉ;DALCAHUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;587406,877;5319658,457;18G;;;;;;;;;;;;
456;FV BOLERO;HELIO ATACAMA TRES;HELIO ATACAMA TRES;Sierra Gorda;Solares;CE01G233;;En Pruebas;no aplica;no aplica;;S/E BOLERO 220KV;146,64;0;146,64;;;;;;;;no aplica;SOLAR;ANTOFAGASTA;ANTOFAGASTA;SIERRA GORDA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;457769,5746;7404150,211;19K;;;;;;;;;;;;
270;ALLIPÉN;HIDROELÉCTRICA ALLIPÉN;HidrolelEctrica AllipEn;Cunco;Hidroeléctricas;CE01G092;PMGD;Operativa;no aplica;no aplica;2;S/E PITRUFQUEN 13 KV;2,6;0;2,6;;03/05/2012 12:00:00 A.M.;ERNC;SAESA;;;;PMGD;MINI HIDRÁULICA DE PASADA;ARAUCANÍA;CAUTÍN;CUNCO;1;CUNCO;no aplica;no aplica;no aplica;no aplica;no aplica;740493,0423;5679692,972;18H;;;;;;;;;;;;
275;CMPC SANTA FE;CMPC CELULOSA;BIOENERGIAS FORESTALES;Nacimiento;Termoeléctricas;CE03A021;;Operativa;no aplica;no aplica;1;S/E NACIMIENTO 220 KV;5;0;5;0;10-04-2015;ERNC;no aplica;;;;PMG;BIOMASA;BÍO BÍO;BÍO BÍO;NACIMIENTO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;707137,316;5845367,351;18H;TPO DE PARTIDA: 0 HRS;;;;;;;;;;;
276;EOLICA EL ARRAYAN;PARQUE EÓLICO EL ARRAYÁN;PATTERN ENERGY;Ovalle;Eólicas;CE01G130;;Operativa;no aplica;no aplica;50;S/E DON GOYO 220KV;115;0,01;114,9885;;06/06/2014 12:00:00 A.M.;ERNC;no aplica;;;;no aplica;EÓLICA;COQUIMBO;LIMARÍ;OVALLE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;241256,9995;6613923,019;19J;PENDIENTE;;;;;;;;;;;
277;SANTA IRENE;SANTA IRENE;BIO ENERGIA SANTA IRENE SPA;Palmilla;Termoeléctricas;CE01G139;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR LIHUEIMO;0,37;8,108108108;0,34;0;03/09/2013 12:00:00 a.m.;ERNC;EMELECTRIC;;;;PMGD;Biogas;LIBERTADOR GENERAL BERNARDO OHIGGINS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;289306;5861300;19;;;;;;;;;;;;
319;LUZ DEL NORTE;LUZ DEL NORTE;PARQUE SOLAR FOTOVOLTAICO LUZ DEL NORTE SPA;Copiapó;Solares;CE01G171;;Operativa;no aplica;no aplica;no aplica;S/E CENTRAL LUZ DEL NORTE;141,04;0;141,04;0;24-02-2016;ERNC;no aplica;ANEXO (REPORTE VALIDACIÓN NT PV LDN PÁG 38/41);;;no aplica;SOLAR;ATACAMA;COPIAPÓ;COPIAPÓ;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;410808;7011661,012;19J;ANEXO (REPORTE PARTIDAS Y DETENCIÓN);Si;thin film;0,75; First Solar Serie FS 3;477,863;370000000;First Solar Energía Ltda.; 12 de Julio de 2013;7 de marzo de 2014;;
